"team","win","is_home","Off_PC1","Off_PC2","Off_PC3","Def_PC1","Def_PC2","Def_PC3"
"統一7-ELEVEn獅",TRUE,FALSE,-0.131723962602217,-0.71040322667344,-0.711228887377935,-0.407510484388407,-0.0310934350127404,0.183725834930235
"中信兄弟",TRUE,FALSE,4.79143585865785,0.305085244760695,-0.219402842047631,-3.54565939387472,-1.05856563596587,0.815135165818938
"台鋼雄鷹",FALSE,TRUE,-2.99837664861874,-1.31386675242587,0.43618205805135,2.19106183861941,1.12251208238394,-0.0947866178527361
"中信兄弟",FALSE,FALSE,2.14077860968552,-1.23372326411605,1.01951913407558,4.97348749630194,-0.176966268676208,-2.15650065614163
"台鋼雄鷹",TRUE,TRUE,6.30543619188229,0.812254605576892,0.2545138646564,0.202368365674831,-0.195981345875496,-1.21471655509018
"台鋼雄鷹",FALSE,FALSE,-1.01764200616415,-0.337142628748567,-1.59192119314081,0.380738986447316,-1.13377165510984,1.24730822155273
"富邦悍將",TRUE,TRUE,-1.25777865293933,0.585870900350424,-0.432494549500812,-0.256634097637535,0.676174743571033,0.0374833280399423
"味全龍",TRUE,FALSE,0.117323985883158,1.21148977492322,-0.138825778823947,-0.271828227988786,-0.226094397768099,0.0897151594371836
"樂天桃猿",FALSE,TRUE,0.270161309002409,-2.06304478587927,-1.85949286951434,0.867851108606164,0.864103100185929,0.643228794582786
"中信兄弟",TRUE,FALSE,8.64385753669682,-1.64134754961193,-0.238063593426221,-0.515565462038335,0.437871851497415,0.0393930995082377
"統一7-ELEVEn獅",FALSE,TRUE,-1.91495961008655,0.771647900506433,-0.13345735474943,4.52687414320944,1.43936819100226,-2.76057631422241
"台鋼雄鷹",TRUE,FALSE,-2.04108018701525,1.1532376628818,-1.06588682683096,0.0423060781756862,0.60060841429213,2.17625247464046
"富邦悍將",FALSE,TRUE,-0.516648567190657,0.554253846592574,-1.22731526992355,-0.59047899148336,1.05704031495082,0.252177725119402
"味全龍",FALSE,FALSE,-3.5771692664735,-0.567345126579892,0.801282798117181,1.59002784445172,-1.60319905905591,0.896664173007443
"樂天桃猿",TRUE,TRUE,-1.91090212492383,0.897700356108537,-0.572790900035661,-2.81764846804921,-0.866269701296502,0.730929713037727
"中信兄弟",TRUE,FALSE,-1.7186604439246,0.981100754273368,-1.07905508952661,-0.844526589403172,0.0461082289117829,2.03602450032581
"統一7-ELEVEn獅",FALSE,TRUE,-2.94294904412494,0.357397668149194,-0.758976836397748,-0.42822198946097,0.377285763636998,1.43124673377274
"台鋼雄鷹",FALSE,FALSE,-3.97995641121202,-0.613470059458693,0.109500477364947,0.137931984279917,-1.95321081709689,2.23764014277718
"富邦悍將",TRUE,TRUE,-1.76460051325586,-0.0600083868694943,-1.40063113656383,-3.1106274092585,-0.387624467072655,0.554598558293232
"台鋼雄鷹",TRUE,TRUE,1.05391111245344,-2.51900380509475,-1.62829270748787,-2.05270787962925,-0.147041884019021,-0.0406416647401689
"富邦悍將",FALSE,FALSE,-1.64165516628218,-0.317493988939722,1.7481828060656,0.853359089855015,-1.90993245524978,-0.787849042160783
"味全龍",FALSE,FALSE,1.19012093573472,0.48666805746806,-2.10581199430611,0.513351878286505,-2.4890768793553,-0.0543398142189036
"樂天桃猿",TRUE,TRUE,-0.0363306265113491,-1.13448841343998,0.0352059625547856,1.60777687610315,1.29556220162185,0.79483665257022
"中信兄弟",FALSE,FALSE,-4.13550571185545,-0.992849429022158,0.591836572348529,1.41629256274536,-1.15693986602344,-0.473110886097778
"統一7-ELEVEn獅",TRUE,TRUE,-0.00606293870502607,-0.29096926557817,-0.964941992972901,-4.50342878522159,-1.2067017876841,-0.5749083398265
"台鋼雄鷹",FALSE,FALSE,-1.68985849047418,0.474339208097822,1.05832631879611,1.97315300331652,-1.52965866829119,1.42188465115696
"味全龍",TRUE,TRUE,1.87990618542874,0.710541628608858,-0.215777694833652,-0.571494653399261,0.426685808154374,-0.197700073994804
"樂天桃猿",FALSE,FALSE,1.71359102656207,-0.772345066836725,1.12503408454717,3.64688238185442,-0.705533765356652,-0.537294206456371
"統一7-ELEVEn獅",TRUE,TRUE,0.143318575497126,2.31366420628324,-0.419098358036554,0.197857996868837,0.390180014046008,-0.996617368248849
"台鋼雄鷹",TRUE,FALSE,1.61640971916406,2.0914425784562,-0.928105335167163,-3.67078966214962,-1.10428148473795,0.248409604867407
"味全龍",FALSE,TRUE,-3.89893830605123,-0.885835554168108,0.773899460556692,2.12392796480714,1.37334824062882,1.61288845756583
"樂天桃猿",TRUE,FALSE,-0.112446247900414,1.28133372114449,-1.19293351226749,-1.32028489375739,-0.710479561139203,-0.152193032736936
"統一7-ELEVEn獅",FALSE,TRUE,0.164511542355163,-1.60376921984682,0.64395265227744,0.902076145069563,0.807234571895745,1.54543763067358
"中信兄弟",FALSE,TRUE,-2.14331314900881,0.634270798209775,0.334472099200183,0.716243765647217,1.26019634744167,0.27179396011305
"富邦悍將",TRUE,FALSE,0.750809723850703,1.29101231418596,0.10370176235824,-0.63030975626417,0.438051856847782,-0.43126350157373
"中信兄弟",FALSE,TRUE,3.33082089460699,-1.70830450828515,0.31474647763311,1.23014698528358,1.57942401764405,0.119320232233214
"富邦悍將",TRUE,FALSE,-0.499130266730482,2.25578640452356,-1.92790412024753,1.10611644000541,0.609311666967949,-1.92464239467504
"中信兄弟",TRUE,FALSE,-0.0592106390194847,-0.753908762179283,0.53264798146957,-2.20813893770513,-0.751075241237057,-1.03333625283222
"味全龍",FALSE,TRUE,0.0204548846573355,-0.873767884902637,1.82001774676957,-2.01738575527973,-0.108405363829085,-0.776132699133292
