season,date,stadium,awayTeam,homeTeam,awayScores,homeScores,away_total_score,home_total_score,total_score,high_score,home_win,H,HR,2B,3B,BB,SO
中職2024年,2024-05-17 18:30:00,澄清湖棒球場,統一7-ELEVEn獅,台鋼雄鷹,"['0', '0', '0', '7', '0', '0', '2', '0', '0']","['1', '0', '0', '0', '0', '1', '0', '0', '3']",9,5,14,1,0,26,0,3,1,3,11
中職2024年,2024-07-31 18:35:00,臺中市洲際棒球場,統一7-ELEVEn獅,中信兄弟,"['0', '0', '0', '0', '0', '1', '2', '0', '5']","['0', '0', '0', '0', '0', '0', '4', '1', '0']",8,5,13,1,0,24,1,9,0,9,18
中職2024年,2024-07-31 18:35:00,花蓮縣立德興棒球場,味全龍,台鋼雄鷹,"['0', '0', '4', '4', '0', '0', '0', '0', '1']","['0', '0', '0', '3', '0', '4', '0', '0', '1']",9,8,17,1,0,25,3,4,1,5,16
中職2024年,2024-05-04 17:05:00,臺中市洲際棒球場,富邦悍將,中信兄弟,"['0', '1', '1', '0', '0', '2', '0', '0', '0']","['0', '1', '0', '0', '2', '0', '1', '0', '1']",4,5,9,0,1,14,1,4,0,9,22
中職2024年,2024-05-18 17:05:00,臺中市洲際棒球場,樂天桃猿,中信兄弟,"['0', '0', '0', '0', '0', '0', '0', '0', '1']","['0', '5', '0', '4', '2', '0', '1', '0', '0']",1,12,13,1,1,19,3,1,0,11,10
中職2024年,2024-08-28 18:35:00,嘉義市立棒球場,統一7-ELEVEn獅,台鋼雄鷹,"['0', '0', '0', '0', '1', '0', '0', '1', '0']","['0', '6', '1', '0', '1', '0', '0', '1', '0']",2,9,11,1,1,21,0,3,1,9,9
中職2024年,2024-04-10 18:52:00,澄清湖棒球場,樂天桃猿,台鋼雄鷹,"['0', '0', '1', '0', '0', '0', '2', '0', '0']","['0', '1', '0', '1', '0', '0', '0', '0', '0']",3,2,5,0,0,17,0,3,0,1,17
中職2024年,2024-06-13 18:35:00,臺中市洲際棒球場,樂天桃猿,中信兄弟,"['1', '0', '0', '0', '0', '0', '0', '1', '1']","['0', '0', '1', '1', '0', '0', '0', '0', '0']",3,2,5,0,0,12,0,2,1,8,11
中職2024年,2024-08-18 17:05:00,臺北市立天母棒球場,富邦悍將,味全龍,"['0', '0', '0', '0', '2', '4', '0', '0', '0']","['1', '0', '0', '0', '1', '0', '3', '0', '2']",6,7,13,1,1,19,2,4,0,9,10
中職2024年,2024-08-27 18:35:00,樂天桃園棒球場,富邦悍將,樂天桃猿,"['0', '0', '0', '0', '0', '1', '2', '1', '0']","['0', '0', '0', '2', '0', '0', '0', '0', '0']",4,2,6,0,0,13,1,4,0,3,17
中職2024年,2024-04-16 18:30:00,斗六棒球場,味全龍,台鋼雄鷹,"['0', '0', '0', '0', '1', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0']",1,0,1,0,0,13,0,1,1,5,11
中職2024年,2024-06-11 18:36:00,樂天桃園棒球場,中信兄弟,樂天桃猿,"['0', '1', '0', '0', '0', '0', '0', '0', '0']","['1', '0', '1', '0', '0', '0', '0', '2', '0']",1,4,5,0,1,13,2,1,1,5,9
中職2024年,2024-04-28 14:06:00,臺中市洲際棒球場,統一7-ELEVEn獅,中信兄弟,"['0', '1', '0', '2', '0', '0', '0', '0', '1']","['0', '0', '0', '0', '0', '2', '0', '0', '0']",4,2,6,0,0,14,3,1,0,6,17
中職2024年,2024-05-25 17:05:00,樂天桃園棒球場,味全龍,樂天桃猿,"['0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '1', '0', '0', '0', '1', '2', '0']",0,4,4,0,1,16,0,0,0,2,9
中職2024年,2024-09-01 17:05:00,臺北市立天母棒球場,統一7-ELEVEn獅,味全龍,"['2', '1', '0', '1', '0', '0', '3', '0', '0']","['0', '0', '3', '1', '0', '3', '0', '1', '0']",7,8,15,1,1,24,1,8,1,7,8
中職2024年,2024-08-07 18:35:00,臺北市立天母棒球場,中信兄弟,味全龍,"['0', '0', '0', '0', '1', '0', '0', '0', '0']","['1', '0', '0', '0', '0', '4', '0', '0', '0']",1,5,6,0,1,12,0,3,0,5,17
